"SAMPLE","TRAIT_1","TRAIT_2","TRAIT_3","TRAIT_4","TRAIT_5","TRAIT_6","TRAIT_7","TRAIT_8","TRAIT_9","TRAIT_10"
"SAMPLE_1",119.43085119715,116.132836030017,40.423791257352,67.4725907429895,73.8914392731825,109.341775986571,102.797406578372,127.340224999906,96.5375001033577,57.8403670735914
"SAMPLE_2",122.88346626928,101.984995405257,43.2316370890154,65.292980097278,76.107821275994,88.4045179415475,96.2990482947419,132.265934334758,103.348447905721,55.8805310022005
"SAMPLE_3",117.849241484043,110.397536915066,44.1282365063688,67.232019390112,73.5632527971484,104.615038290739,106.089319128096,123.363956790161,93.0661740391462,54.3490243910973
"SAMPLE_4",111.18193762581,123.500669987539,38.0455450229076,69.0533536368858,66.1115635577829,89.7639234532063,95.5750478994746,127.804142563312,90.8313253758257,49.0375609480773
"SAMPLE_5",129.96254981171,116.560424587853,36.4912376749354,67.7168151265493,70.311835588765,93.6571678399982,90.6550955034859,125.14368729823,93.6789172924095,56.223821233575
"SAMPLE_6",115.685414200713,108.763636100724,41.0767641141147,74.5631455716565,72.5441536489111,94.9448144699047,99.9336985934248,116.330250261568,102.412411241583,56.5882264677075
"SAMPLE_7",125.476369706604,115.316964661144,45.7971057505386,72.8513683087882,74.0278074310503,90.860068966305,89.8824356398158,127.250931422208,85.6255113759149,57.737734257024
"SAMPLE_8",116.032593715735,105.199271150771,43.2913328577042,68.3492685018509,73.1579975039098,92.6127937095932,102.599601126032,117.229556002881,93.6822928634716,59.4557975859488
"SAMPLE_9",121.326911762025,126.282106712812,43.3674042795766,60.4514634452603,76.5116441687625,89.1792422268084,98.7187989233982,131.276468975566,109.582518736758,54.1071372919765
"SAMPLE_10",106.468211630103,129.213509017416,42.8258330204202,70.6889642405465,76.407458161905,97.1044665353373,101.039626088748,145.654594941616,91.511740180026,50.297911381574
"SAMPLE_11",132.791916728752,126.109979593705,40.4214061789217,69.7821966285218,76.5522620222733,99.6693082910709,90.8486271084904,123.885549976442,92.2006467136135,54.8254304575388
"SAMPLE_12",130.761786725118,125.599067782201,42.9950616386971,65.7250647917651,63.9351729755356,99.9320906243474,92.2284995834523,124.908979041243,98.7905412004503,49.2803235631917
"SAMPLE_13",130.731529828818,116.627051664533,46.4885170199633,66.7381817321212,75.6968802834193,91.0833348662424,93.6426234395395,124.926835181586,100.554665575828,54.2858775135598
"SAMPLE_14",109.762143181575,102.260669604703,42.4199147513615,75.6864625358251,68.745876416173,86.6077697552329,98.9486731100701,119.941248170718,98.6502995906271,51.391139777447
"SAMPLE_15",119.84497548481,113.218714770532,43.737083128671,59.7447686081653,66.4123872398476,81.6170925704512,94.7419775946454,120.27481765251,103.550935492688,53.7684237568858
"SAMPLE_16",126.547094528741,119.063819465924,38.0343368079466,67.591672643725,78.1204899091468,98.0217170071707,90.1549907934212,121.960838569104,101.476228311305,51.8768207368737
"SAMPLE_17",138.8796983896,117.564981654786,41.0553437108671,66.347502773117,71.71532275838,94.1043942445923,96.2030329922645,129.00103317976,109.707829141677,53.6708155916106
"SAMPLE_18",118.468872029739,119.260560663235,45.3495757984886,65.6377815382187,68.241424932947,93.8783455372947,91.4184596923599,126.414361651867,90.1589215883026,51.7116594167425
"SAMPLE_19",140.831414569694,122.672111349865,44.2095851185729,68.9353946817336,71.3977359034849,100.477458335926,95.3901887060967,125.665679087635,88.5500672435287,54.4999994355601
"SAMPLE_20",121.509656569035,101.593522623819,40.5305773100072,66.337486428262,70.0149944216309,80.9066705512739,103.482034079728,121.778495103247,93.5423952698204,60.409817846639
"SAMPLE_21",131.828011942989,119.458559357859,40.3212261800964,66.7664754154904,75.3360825232884,103.840956665298,84.2077117219945,132.056469891566,87.2014413927194,57.0004887585761
"SAMPLE_22",119.343993072144,117.016168609599,40.4855743263942,62.0961702849541,70.44286644866,98.0563654629347,101.408581268448,118.079906264242,103.923152642088,56.3538740609274
"SAMPLE_23",138.133384152455,128.510339351418,45.4081834113029,75.0700774866072,73.6714763306858,95.4036688426616,109.326809603043,135.0281991812,95.6405301581036,57.1398381315791
"SAMPLE_24",112.620038704594,123.451860499282,45.2419831299598,72.0543040703149,76.0310283977275,86.7453675473135,81.2812323501479,141.688538900844,93.2303279756953,54.2403158303237
"SAMPLE_25",136.182229440692,115.856285215088,40.5943118153818,65.5219978724128,80.945711551746,90.4026790503915,95.4653688599635,126.016694419772,90.6792806552938,54.570198299495
